,Company/Brand,Amount($),Year of Funding
2064,Wellthy Therapeutics Pvt Ltd,1971000.0,2018
28,Aashiyaan Housing and Development Finance,1971000.0,2018
2134,Zenduty,1900000.0,2021
695,Fountain9,1900000.0,2021
1424,Piggy Ride,1862000.0,2020
648,Fingerlix,1834000.0,2020
1684,SimpliContract,1800000.0,2021
1984,Vah Vah!,1800000.0,2021
375,Colive.in,1800000.0,2018
1275,NewsReach,1800000.0,4041
1350,Optimized Electrotech,1800000.0,2021
441,Cuvette Tech,1800000.0,2021
2031,Voiro,1800000.0,2021
2047,Wasabi,1800000.0,2021
1023,KoineArth,1800000.0,2021
213,Biryani By Kilo,1790000.0,4038
2088,WizKlub,1782530.0,4041
366,Codingal,1760000.0,6062
933,InnerChef,1760000.0,2018
458,DataTrained,1752000.0,2018
372,CoinGeto,1752000.0,2018
1451,Pocket52,1750000.0,2020
11,6Degree,1740000.0,6059
1921,True Elements,1730000.0,4039
998,Kenko Health,1700000.0,2021
2177,goDutch,1700000.0,2020
1081,Letstrack,1700000.0,2018
1076,Let's Dive,1700000.0,2020
782,Goodmeetings,1700000.0,2021
977,Junio,1600000.0,4042
1437,Planys,1600000.0,2021
804,Gumlet,1600000.0,2021
1816,Swajal,1600000.0,2021
1292,Nivesh,1600000.0,2021
1504,QTalk,1600000.0,2020
1315,ORO Wealth,1600000.0,2018
1932,Turnip,1600000.0,2021
996,Keka HR,1600000.0,2021
1679,SignalX,1550000.0,4040
1198,MissMalini Entertainment,1518400.0,2018
869,HousingMan.com,1503800.0,2018
990,Karkhana.io,1500000.0,2021
1851,Tekie,1500000.0,2021
2105,Xpand,1500000.0,2021
899,ImaginXP,1500000.0,2021
1096,Livve,1500000.0,2020
87,Anvidha Technologies,1500000.0,2021
1225,Murf.ai,1500000.0,2021
866,Hospals,1500000.0,2018
1385,Paytail,1500000.0,2021
1562,Rephrase.ai,1500000.0,2020
1470,PredictiVu,1500000.0,2021
2099,Wow Venue,1500000.0,2018
1763,Stanplus,1500000.0,2020
2032,Vokal,1500000.0,2018
553,Ekincare,1500000.0,2018
34,AcknoLedger,1500000.0,2021
490,Do Your Thng,1500000.0,2021
1891,Toffee,1500000.0,2018
1866,The Ken,1500000.0,2018
1837,TapChief,1500000.0,2020
931,InnAccel,1500000.0,2020
1970,UptimeAI,1500000.0,2021
1527,RENEE Cosmetics,1500000.0,2021
1651,Seekify,1500000.0,2020
973,Josh Talks,1500000.0,2020
1144,MasterMentors,1500000.0,2021
966,Jeevam Health,1500000.0,2021
923,Infilect,1500000.0,2020
