Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,INR
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018, 
Rays Power Infra,"Energy, Solar",Venture - Series Unknown,,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,INR
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018, 
Khidki,"Artificial Intelligence, Social",Seed,0.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,NUL
LetsTransport,"Logistics, Transportation, Travel",Series B,,Bangalore,Lets transport is a logistics solution provider.,2018,INR
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,INR
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,INR
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,INR
Swiggy,"Food Delivery, Food Processing, Internet",Series H,,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018, 
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018, 
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,0.0,Anand,Nutrisattva is a protein innovation compan,2018,NUL
Toppr,"EdTech, Education, Knowledge Management",Series C,,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018, 
