,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does,Founders
654,1000000.0,2020,2008,Sreyas Holistic Remedies,Medtech,Series A,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma
655,85860249.91073933,2020,2016,Fleeca India,Tyre management,Series A,Jaipur,FLEECA is a Tyre Care Provider company.,Tikam Jain
656,4500000.0,2020,2017,M1xchange,FinTech,Series A,Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru
657,5000000.0,2020,2011,Exotel,Cloud company,Series A,Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan
658,15000000.0,2020,2019,PagarBook,Software company,Series A,Bangalore,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra"
659,85860249.91073933,2020,2020,PointOne Capital,Venture capitalist,Series A,Bangalore,Pre-seed/Seed focussed VC investor,Mihir Jha
660,390000000.0,2020,2017,Ayana,Renewable player,Series A,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N
661,7000000.0,2020,2015,Fisdom,FinTech,Series A,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat"
662,85860249.91073933,2020,2020,Tinker Coders,EdTech,Seed,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam
663,5100000.0,2020,2015,Infinite Uptime,IoT startup,Series B,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge
664,500000.0,2020,2016,HappyLocate,SaaS startup,Pre-series A,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru"
665,700000000.0,2020,2015,PhonePe,FinTech,Series A,New Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam"
666,2300000.0,2020,2017,Loop Health,HealthTech,Seed,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh"
667,85860249.91073933,2020,2020,NeoDocs,HealthTech,Pre-seed,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha"
668,85860249.91073933,2020,2016,The ePlane,Aero company,Seed,Chennai,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta"
669,700000.0,2020,2019,TagMango,Marketing company,Seed,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan"
670,500000.0,2020,2019,The New Shop,Retail startup,Seed,New Delhi,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali"
671,7000000.0,2020,2009,MobiKwik,FinTech,Series A,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku"
672,100000.0,2020,2020,DebugsBunny,EdTech,Series A,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare
673,1000000.0,2020,2014,BHIVE Investech,Co-working Startup,Seed,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman"
